review_text,sentiment
It's not soft enough for baby's,0
These fit like a hat rather than something I can get my shoulder length hair into.,0
Poorly made/manufactured basically started falling apart after one wash. Un even stitching and very thin material. 3/10,0
"I have oily acne prone skin and these don't  break me out like some sheet masks do which is why I gave 3 stars, but they don't make any noticeable differences in my skin either. The sheets feel high quality and they aren't slimy which is nice. My face feels clean, but not moisturized or dewy afterwards. I probably won't purchase again.",0
Inferior quality. Scratchy. Thin. Don’t remove make-up well. I have bought store-brands with better quality. So disappointed.,0
Good stuff,1
"Bought this wig for my joker costume and it is very very cute. The way the colors fade into each other and on top of that it’s styled very nicely. It is worth the price, I would buy again!",1
I love everything from this company.  The soaps aren’t drying and they smell lovely.,1
Very practical and can speed up operation time!  Thank you,1
"Honestly, I bought this for my wife, who is an African American. She says this stuff keeps her braids from itching, so when I saw that Amazon had it, I ordered 4 bottles for her.",1
I’m glad I got all 12 of mine. Some people were saying they only got 10. I wouldn’t have been too mad tho bc for 8.99 even 10 isn’t bad (at my local beauty supply store its $1-1.50/each). But i find it a bit strange that the design is different between the store bought and online ones. The store bought is on the left and the one from this order is on the right. I have yet to open it but the diff shades of green and diff font is highkey throwing me off,1
These work great! I never lose my chapstick anymore. The only negative is that I live in a very hot climate and have had to reglue the top part on with a better quality glue than it comes with. Not a big deal. Still worth it.,1
They don't stay on,0
The brow was too large for me. It appeared to wipe off easily.,0
You  were very sharp and the combs are very thin and easy to break,0
Did not like the smell of this soap. The ingredients stain the wash cloth. Save your money. Hemp Code is a good one.,0
Very thin but it’s worth the money. Nice and soft. If you want better results just order else where couldn’t go wrong for the price and quality,0
Don't waste your money,0
Perfect for styling my litttle girls hair!,1
"The product inside was stik together,  I had to cut with ✂️ It doesn't work for me",0
The pump doesn’t work on the conditioner,0
Perfect fit fir my 22 mo granddaughter. Not too snug but will stay on while sleeping.,1
Over all it is a great curling iron for short hair!!!,0
Pallet arrived in perfect condition. Very pretty colors,1
"Length is incorrect, hair is mixed Fibre and knots easily, can't be worn loose or else it gets knotted, worst purchase in hair ever",0
Too slippery. Wasted my money.,0
